address,bank_name,sell_course,buy_course,lat,lon
"г. Минск, ул. Бурдейного, 6 (павильон №19)",МТБанк,2.87,2.92,53.905122,27.455131
"г. Минск, пр-т Победителей, 9 (Обменный пункт в Казино. Только для клиентов Казино)",МТБанк,2.87,2.92,53.90857,27.548608
"г. Минск, ул. Кирова, 8к3 (в Казино. Только для клиентов Казино)",МТБанк,2.87,2.92,53.894925,27.555714
"г. Калинковичи, ул. 50 лет Октября, 83/2",МТБанк,2.87,2.92,52.123677,29.308309
"г. Минск, ул. Радиальная 38А",Приорбанк,2.88,2.92,53.891583814184,27.647177183853
"г. Минск, ул. Тимирязева 65А",Приорбанк,2.88,2.92,53.923436,27.510499
"г. Минск, ул. Логойский тракт 15 /1",Приорбанк,2.88,2.92,53.9426,27.607987
"г. Минск, ул. Притыцкого 91",Приорбанк,2.88,2.92,53.906066414632,27.442761809769
"г. Минск, ул. Немига 30",Приорбанк,2.88,2.92,53.90162,27.54756
"г. Минск, пр-т Партизанский 107",Приорбанк,2.88,2.92,53.8693,27.65017
"г. Минск, ул. Кропоткина 91А",Приорбанк,2.88,2.92,53.922314,27.558154
"г. Минск, пр-т Дзержинского 104",Приорбанк,2.88,2.92,53.861773,27.48014
"г. Минск, пр-т Дзержинского 126",Приорбанк,2.88,2.92,53.84748,27.47101
"г. Минск, пр-т Рокоссовского 80",Приорбанк,2.88,2.92,53.8631,27.603939
"г. Минск, ул. Игуменский тракт 30",Приорбанк,2.88,2.92,53.840385,27.572496
"г. Минск, пр-т Дзержинского 122",Приорбанк,2.88,2.92,53.851473,27.474399
"г. Минск, пр-т Партизанский 150А",Приорбанк,2.88,2.92,53.859605,27.674022
"г. Минск, ул. Петра Мстиславца 13",Приорбанк,2.88,2.92,53.934425,27.65513
"г. Минск, пр-т Независимости 168 /2",Приорбанк,2.88,2.92,53.94521,27.69047
"г. Минск, ул. Трудовая 10",Приорбанк,2.88,2.92,53.865855,27.655687
"г. Минск, пр-т Дзержинского, 91 (ТЦ Алми)",Банк РРБ,2.83,2.92,53.859557,27.481926
"г. Минск, ул. Одинцова, 65 (ТЦ Гиппо)",Банк РРБ,2.83,2.92,53.89995,27.441304
"г. Минск, ул. Городецкая, 30 (ТЦ Гиппо)",Банк РРБ,2.83,2.92,53.94742,27.678109
"г. Минск, ул. Тимирязева, 127 (1 этаж в здании паркинга)",Цептер Банк,2.87,2.92,53.938063,27.443257
"г. Минск, ул. Платонова, 1 Б",Цептер Банк,2.87,2.92,53.904181,27.588627
"г. Минск, ул. Тимирязева, 127, 1 этаж (гипермаркет «MILE»)",Цептер Банк,2.87,2.92,53.938290280435,27.443795484458
"г. Минск, ул. Немига, 12Б-2",Цептер Банк,2.87,2.92,53.902379,27.54857
"г. Минск, пр. Дзержинского, 69",Беларусбанк,2.88,2.925,53.865233,27.487967
"г. Минск, пр. Любимова, 30",Беларусбанк,2.88,2.925,53.86315,27.460883
"г. Минск, ул. Слободская, 135",Беларусбанк,2.88,2.925,53.845367,27.457083
"г. Минск, ул. Романовская Слобода, 9",Беларусбанк,2.88,2.925,53.90364,27.5437
"г. Минск, ул. Уманская, 54",Беларусбанк,2.88,2.925,53.874717,27.498517
"г. Минск, пр. Независимости, 11",Беларусбанк,2.88,2.925,53.897383,27.54935
"г. Минск, ул. Кальварийская, 24",Беларусбанк,2.88,2.925,53.90805,27.527333
"г. Минск, пр. Любимова, 41",Беларусбанк,2.88,2.925,53.86395,27.453402
"г. Минск, ул. Киселева, 17",Беларусбанк,2.88,2.925,53.912272,27.568829
"г. Минск, ул. Ленина, 5",Беларусбанк,2.88,2.925,53.901515,27.558426
"г. Минск, бул. Шевченко, 12",Беларусбанк,2.88,2.925,53.925455,27.556351
"г. Минск, ул. Ольшевского, 1",Беларусбанк,2.88,2.925,53.91294,27.504348
"г. Минск, ул. Жудро, 59",Беларусбанк,2.88,2.925,53.920717,27.479567
"г. Минск, ул. Пономаренко, 41",Беларусбанк,2.88,2.925,53.892969,27.488872
"г. Минск, ул. Бурдейного, 13",Беларусбанк,2.88,2.925,53.903767,27.454617
"г. Минск, ул. Одинцова, 36",Беларусбанк,2.88,2.925,53.902591,27.436229
"г. Минск, пр. Победителей, 75",Беларусбанк,2.88,2.925,53.931111,27.50901
"г. Минск, ул. Притыцкого, 78",Беларусбанк,2.88,2.925,53.90704,27.44662
"г. Минск, ул. Сухаревская, 8",Беларусбанк,2.88,2.925,53.88465,27.438833
"г. Минск, ул. Будславская, 2",Беларусбанк,2.88,2.925,53.959267,27.537633
"г. Минск, ул. Лобанка, 94",Беларусбанк,2.88,2.925,53.886483,27.427883
"г. Минск, ул. Одинцова, 113",Беларусбанк,2.88,2.925,53.900917,27.427517
"г. Минск, ул. Сухаревская, 62",Беларусбанк,2.88,2.925,53.888733,27.422383
"г. Минск, ул. Одинцова, 9",Беларусбанк,2.88,2.925,53.898167,27.456317
"г. Минск, ул. Кунцевщина, 13",Беларусбанк,2.88,2.925,53.910813,27.434818
"г. Минск, ул. Долгобродская, 1",Беларусбанк,2.88,2.925,53.903433,27.6007
"г. Минск, ул. Ангарская, 40",Беларусбанк,2.88,2.925,53.871956,27.684634
"г. Минск, ул. Жилуновича, 26",Беларусбанк,2.88,2.925,53.869667,27.626967
"г. Минск, ул. Уборевича, 72",Беларусбанк,2.88,2.925,53.838794,27.650306
"г. Минск, пр. Партизанский, 110",Беларусбанк,2.88,2.925,53.867233,27.653367
"г. Минск, ул. Голодеда, 61",Беларусбанк,2.88,2.925,53.839531,27.618672
"г. Минск, ул. Уборевича, 26",Беларусбанк,2.88,2.925,53.845583,27.643533
"г. Минск, ул. Голодеда, 31",Беларусбанк,2.88,2.925,53.838794,27.650306
"г. Минск, ул. Жилуновича, 12",Беларусбанк,2.88,2.925,53.873171,27.628881
"г. Минск, ул. Шишкина, 26",Беларусбанк,2.88,2.925,53.858915,27.634108
"г. Минск, ул. Нестерова, 51",Беларусбанк,2.88,2.925,53.884857,27.684229
"г. Минск, ул. Охотская, 135",Беларусбанк,2.88,2.925,53.880292,27.668523
"г. Минск, ул. Уральская, 16",Беларусбанк,2.88,2.925,53.902417,27.617283
"г. Минск, ул. Солтыса, 54",Беларусбанк,2.88,2.925,53.895348,27.653486
"г. Минск, ул. Ванеева, 18",Беларусбанк,2.88,2.925,53.881983,27.6121
"г. Минск, ул. Слесарная, 4",Беларусбанк,2.88,2.925,53.8981,27.579717
"г. Минск, пр. Партизанский, 26",Беларусбанк,2.88,2.925,53.878067,27.607083
"г. Минск, пр. Рокоссовского, 1",Беларусбанк,2.88,2.925,53.874691,27.598065
"г. Минск, ул. Фабричная, 23",Беларусбанк,2.88,2.925,53.8864,27.590267
"г. Минск, пр. Партизанский, 23",Беларусбанк,2.88,2.925,53.883724,27.594003
"г. Минск, ул. Плеханова, 42",Беларусбанк,2.88,2.925,53.863991,27.608624
"г. Минск, ул. Плеханова, 72",Беларусбанк,2.88,2.925,53.859217,27.591833
"г. Минск, пр. Рокоссовского, 33",Беларусбанк,2.88,2.925,53.869929,27.603025
"г. Минск, ул. Игуменский тракт, 42",Беларусбанк,2.88,2.925,53.83656,27.573748
"г. Минск, ул. Игуменский тракт, 20",Беларусбанк,2.88,2.925,53.843883,27.569517
"г. Минск, пр. Партизанский, 147",Беларусбанк,2.88,2.925,53.864723,27.666821
"г. Минск, ул. Сурганова, 47",Беларусбанк,2.88,2.925,53.927783,27.586583
"г. Минск, пр. Независимости, 169",Беларусбанк,2.88,2.925,53.9441,27.66605
"г. Минск, ул. Сурганова, 66",Беларусбанк,2.88,2.925,53.930267,27.582433
"г. Минск, ул. Логойский тракт, 27",Беларусбанк,2.88,2.925,53.952717,27.617817
"г. Минск, пр. Машерова, 16",Беларусбанк,2.88,2.925,53.91525,27.574133
"г. Минск, ул. Мирошниченко, 1",Беларусбанк,2.88,2.925,53.958743,27.605336
"г. Минск, пр. Машерова, 54",Беларусбанк,2.88,2.925,53.91785,27.558059
"г. Минск, ул. Гамарника, 16",Беларусбанк,2.88,2.925,53.957433,27.61505
"г. Минск, ул. Куйбышева, 75",Беларусбанк,2.88,2.925,53.923424,27.579106
"г. Минск, ул. Маяковского, 8",Беларусбанк,2.88,2.925,53.883585,27.56705
"г. Минск, ул. Полевая, 12",Беларусбанк,2.88,2.925,53.874267,27.567317
"г. Минск, ул. Воронянского, 7А",Беларусбанк,2.88,2.925,53.878297,27.543068
"г. Минск, ул. Асаналиева, 40Б",Беларусбанк,2.88,2.925,53.850826,27.545623
"г. Минск, пр. Независимости, 3",Беларусбанк,2.88,2.925,53.895679,27.548516
"г. Минск, ул. Кирова, 2",Беларусбанк,2.88,2.925,53.89189,27.551887
"г. Минск, ул. Брестская, 77А",Беларусбанк,2.88,2.925,53.8555,27.521433
"г. Минск, пл. Привокзальная, 5",Беларусбанк,2.88,2.925,53.89105,27.550063
"г. Минск, пр. Независимости, 3",Беларусбанк,2.88,2.925,53.896241,27.54882
"г. Минск, пр. Независимости, 56",Беларусбанк,2.88,2.925,53.917048,27.587138
"г. Минск, ул. Высокая, 11д",Беларусбанк,2.88,2.925,53.914973,27.67604
"г. Минск, пр. Независимости, 91",Беларусбанк,2.88,2.925,53.923644,27.608951
"г. Минск, пр. Независимости, 103",Беларусбанк,2.88,2.925,53.928104,27.626617
"г. Минск, ул. Водолажского, 4",Беларусбанк,2.88,2.925,53.944097,27.706397
"г. Минск, ул. Калиновского, 55",Беларусбанк,2.88,2.925,53.947129,27.629771
"г. Минск, ул. Славинского, 41",Беларусбанк,2.88,2.925,53.938723,27.640413
"г. Минск, ул. Карбышева, 1",Беларусбанк,2.88,2.925,53.955683,27.62405
"г. Минск, ул. Руссиянова, 36",Беларусбанк,2.88,2.925,53.935836,27.688671
"г. Минск, ул. Руссиянова, 9",Беларусбанк,2.88,2.925,53.938573,27.684051
"г. Минск, пр. Независимости, 154",Беларусбанк,2.88,2.925,53.936102,27.67365
"г. Минск, пр. Независимости, 179",Беларусбанк,2.88,2.925,53.946183,27.687985
"г. Минск, ул. Бобруйская, 6",Беларусбанк,2.88,2.925,53.890237,27.554304
"г. Минск, ул. Матусевича, 76",Беларусбанк,2.88,2.925,53.917883,27.447283
"г. Минск, пр. Дзержинского, 119",Беларусбанк,2.88,2.925,53.849833,27.476133
"г. Минск, ул. Лидская, 14",Беларусбанк,2.88,2.925,53.922083,27.431317
"г. Минск, пр. Дзержинского, 131",Беларусбанк,2.88,2.925,53.84525,27.474
"г. Минск, ул. Неманская, 35",Беларусбанк,2.88,2.925,53.9142,27.426017
"г. Минск, ул. Селицкого, 71",Беларусбанк,2.88,2.925,53.83785,27.703233
"г. Минск, ул. Долгиновский тракт, 178",Беларусбанк,2.88,2.925,53.964215,27.535861
"г. Минск, ул. Авроровская, 8",Беларусбанк,2.88,2.925,53.861371,27.566069
"г. Минск, пр. Независимости, 66",Беларусбанк,2.88,2.925,53.920504,27.598401
"г. Минск, ул. Корженевского, 26",Беларусбанк,2.88,2.925,53.842567,27.529083
"г. Минск, ул. В.Хоружей, 8",Беларусбанк,2.88,2.925,53.920093,27.577743
"г. Минск, пр. Газеты Правда, 20А",Беларусбанк,2.88,2.925,53.867676,27.483974
"г. Минск, ул. Есенина, 16",Беларусбанк,2.88,2.925,53.850162,27.463528
"г. Минск, ул. Р.Люксембург, 99",Беларусбанк,2.88,2.925,53.891483,27.52095
"г. Минск, пр. Газеты Звязда, 55",Беларусбанк,2.88,2.925,53.858463,27.463196
"г. Минск, ул. Янки Брыля, 30",Беларусбанк,2.88,2.925,53.8798,27.484833
"г. Минск, ул. В.Хоружей, 46",Беларусбанк,2.88,2.925,53.92345,27.553183
"г. Минск, ул. Берута, 24",Беларусбанк,2.88,2.925,53.899117,27.506067
"г. Минск, ул. П.Глебки, 2",Беларусбанк,2.88,2.925,53.908817,27.47385
"г. Минск, ул. П.Глебки, 118",Беларусбанк,2.88,2.925,53.927417,27.4816
"г. Минск, 2-ой пер. Багратиона, 20",Беларусбанк,2.88,2.925,53.908004,27.626123
"г. Минск, ул. Красина, 25",Беларусбанк,2.88,2.925,53.825756,27.765032
"г. Минск, ул. О.Кошевого, 18",Беларусбанк,2.88,2.925,53.886083,27.60655
"г. Минск, ул. Шпилевского, 54",Беларусбанк,2.88,2.925,53.847015,27.56352
"г. Минск, ул. Бачило, 32",Беларусбанк,2.88,2.925,53.873171,27.628881
"г. Минск, ул. Л.Беды, 19",Беларусбанк,2.88,2.925,53.932506,27.588942
"г. Минск, ул. Я.Коласа, 47",Беларусбанк,2.88,2.925,53.929176,27.596829
"г. Минск, ул. М.Богдановича, 78",Беларусбанк,2.88,2.925,53.9274,27.573733
"г. Минск, ул. В.Хоружей, 24",Беларусбанк,2.88,2.925,53.92255,27.565633
"г. Минск, Территория Национального аэропорта «Минск»",Беларусбанк,2.88,2.925,53.88945,28.034267
"г. Минск, ул. Карла Маркса, 8",Беларусбанк,2.88,2.925,53.89189,27.551887
"г. Минск, ул. Чкалова, 1",Беларусбанк,2.88,2.925,53.881505,27.537088
"г. Минск, ул. Льва Толстого, 4",Беларусбанк,2.88,2.925,53.889533,27.54285
"г. Минск, ул. Я.Коласа, 12",Беларусбанк,2.88,2.925,53.920498,27.588561
"г. Минск, ул. Корженевского, 10",Беларусбанк,2.88,2.925,53.844794,27.50262
"г. Минск, ул. Фогеля, 1В",Беларусбанк,2.88,2.925,53.960809,27.736565
"г. Минск, ул. М.Танка, 34",Беларусбанк,2.88,2.925,53.90875,27.5315
"г. Минск, пр. Рокоссовского, 114",Беларусбанк,2.88,2.925,53.8577,27.6083
"г. Минск, ул. Логойский тракт, 1",Беларусбанк,2.88,2.925,53.9405,27.605533
"г. Минск, ул. Жуковского, 6",Беларусбанк,2.88,2.925,53.882307,27.549886
"г. Минск, ул. Лейтенанта Кижеватова, 80",Беларусбанк,2.88,2.925,53.844109,27.532543
"г. Минск, пр. Пушкина, 75",Беларусбанк,2.88,2.925,53.918625,27.495275
"г. Минск, ул. Мясникова, 32",Беларусбанк,2.88,2.925,53.898126,27.542521
"г. Минск, пр. Независимости, 155",Беларусбанк,2.88,2.925,53.93513,27.650785
"г. Минск, ул. Гинтовта, 14",Беларусбанк,2.88,2.925,53.948374,27.671785
"г. Минск, пл. Привокзальная, 5",Беларусбанк,2.88,2.925,53.890649,27.550707
"г. Минск, пр. Независимости, 44",Беларусбанк,2.88,2.925,53.91116,27.578958
"г. Минск, пр. Дзержинского, 18",Беларусбанк,2.88,2.925,53.890496,27.522425
"г. Минск, ул. Красноармейская, 36",Беларусбанк,2.88,2.925,53.892224,27.578622
"г. Минск, ул. Слободская, 15",Беларусбанк,2.88,2.925,53.86105,27.4296
"г. Минск, ул. Нарочанская, 4",Беларусбанк,2.88,2.925,53.934605,27.477839
"г. Минск, ул. Игоря Лученка, 1",Беларусбанк,2.88,2.925,53.869969,27.538241
"г. Минск, улица Тимирязева 114",Паритетбанк,2.885,2.925,53.93451,27.457473
"г. Минск, улица Тимирязева 114",Паритетбанк,2.885,2.925,53.934344,27.457843
"г. Минск, улица Тимирязева 114",Паритетбанк,2.885,2.925,53.934174,27.457803
"г. Минск, улица Тимирязева 114",Паритетбанк,2.885,2.925,53.934342,27.458336
"г. Минск, улица Тимирязева 114",Паритетбанк,2.885,2.925,53.93411,27.458438
"г. Минск, улица Тимирязева 125/14",Паритетбанк,2.885,2.925,53.936009,27.449164
"г. Минск, улица Никифорова 51",Паритетбанк,2.885,2.925,53.942615,27.698056
"г. Минск, улица Никифорова 51",Паритетбанк,2.885,2.925,53.942717,27.698148
"г. Минск, Дунина-Марцинкевича 11-2",Паритетбанк,2.885,2.925,53.907959,27.492293
"г. Минск, Дунина-Марцинкевича 11-2",Паритетбанк,2.885,2.925,53.907864,27.491736
"г. Минск, Минский район, Щомыслицкий сельсовет, 32, корпус 4 (ТЦ DiaMond city)",Банк РРБ,2.88,2.925,53.84961,27.43357
"г. Минск, ул. Веры Хоружей, 8 (Комаровский рынок)",Банк РРБ,2.859,2.925,53.91977,27.577381
"г. Минск, Проспект Победителей, 91",Белагропромбанк,2.885,2.927,53.933312,27.502402
"г. Минск, улица Романовская Слобода, 8",Белагропромбанк,2.885,2.927,53.90278,27.54667
"г. Минск, улица Ольшевского, 24",Белагропромбанк,2.885,2.927,53.920163,27.499434
"Минский р-н, Боровлянский с/с, 74/1, р-н д. Боровая",Белагропромбанк,2.882,2.929,53.963663,27.624295
"г. Минск, улица Логойский тракт, 22а",Белагропромбанк,2.882,2.929,53.94697,27.61567
"г. Минск, улица Маяковского, 154",Белагропромбанк,2.882,2.929,53.86967,27.569027
"г. Минск, тракт Игуменский, 16",Белагропромбанк,2.882,2.929,53.844978,27.568362
"г. Минск, проспект Партизанский, 52",Белагропромбанк,2.882,2.929,53.874583,27.627669
"г. Минск, улица Уборевича, 176",Белагропромбанк,2.882,2.929,53.835537,27.605956
"г. Минск, Ул. Воронянского, 40",Белагропромбанк,2.882,2.929,53.877557,27.545711
"г. Минск, улица Рафиева, 88а",Белагропромбанк,2.882,2.929,53.859839,27.436728
"г. Минск, улица Железнодорожная, 44",Белагропромбанк,2.882,2.929,53.880469,27.519251
"г. Минск, улица К.Маркса, 15",Белагропромбанк,2.882,2.929,53.896951,27.553865
"г. Минск, улица Лобанка, 79",Белагропромбанк,2.882,2.929,53.888961,27.42897
"г. Минск, улица Р.Люксембург, 80",Белагропромбанк,2.882,2.929,53.89353,27.528378
"г. Минск, улица Шаранговича, 4",Белагропромбанк,2.882,2.929,53.892857,27.458884
"г. Минск, бульвар Шевченко, 11",Белагропромбанк,2.882,2.929,53.927289,27.555561
"г. Минск, улица Куйбышева, 75",Белагропромбанк,2.882,2.929,53.922862,27.577875
"г. Минск, проспект Машерова, 19",Белагропромбанк,2.882,2.929,53.916299,27.562657
"г. Минск, проспект Победителей, 49",Белагропромбанк,2.882,2.929,53.917084,27.533086
"г. Минск, улица Жиновича, 20",Белагропромбанк,2.882,2.929,53.924058,27.443097
"г. Минск, улица Одинцова, 20",Белагропромбанк,2.882,2.929,53.900582,27.446751
"г. Минск, ул. Независимости, 134",Белагропромбанк,2.882,2.929,53.933852,27.658997
"Минск, ул. Корженевского, 26",БНБ-Банк,2.881,2.929,53.842461485295,27.529122304893
"г. Минск, Логойский тракт, 10",Альфа Банк,2.88,2.93,53.941869962673,27.608721415344
"г. Минск, пр-т. Победителей, 5,рядом с ТЦ ""Галерея""",Альфа Банк,2.88,2.93,53.907247983682,27.550936391822
"г. Минск, пр. Независимости, 93",Альфа Банк,2.88,2.93,53.924238099085,27.612239787033
"г. Минск, пр. Независимости, 168/2,рядом с метро ""Уручье""",Альфа Банк,2.88,2.93,53.945257125987,27.690156695106
"г. Минск, пр. Рокоссовского, 80",Альфа Банк,2.88,2.93,53.863703458872,27.604081904041
"г. Минск, ул. Притыцкого, 39,рядом с метро ""Спортивная""",Альфа Банк,2.88,2.93,53.907799283027,27.476225609123
"г. Минск, ул. Сурганова, 43",Альфа Банк,2.88,2.93,53.926804745999,27.589607805557
"г. Минск, пр. Дзержинского,119",Альфа Банк,2.88,2.93,53.850418666218,27.47627608471
"г. Минск, ул. Притыцкого, 97-473",Альфа Банк,2.88,2.93,53.906366913146,27.438174826672
"г. Минск, П. Мстиславца, 9",Альфа Банк,2.88,2.93,53.932819934219,27.649750161377
"г. Минск, ул. Кульман, 5б",Альфа Банк,2.88,2.93,53.919516381249,27.580799968317
"г. Минск, пр. Независимости, 177",Альфа Банк,2.88,2.93,53.945315212631,27.68324604299
"г. Минск, Игуменский тракт, 20",Альфа Банк,2.88,2.93,53.843840002337,27.569656161377
"г. Минск, пр-т. Победителей 108-4",Альфа Банк,2.88,2.93,53.939333234997,27.47768149723
"г. Минск, проспект Победителей, 119, пом. 492",Белагропромбанк,2.875,2.93,53.93814,27.473428
"г. Минск, проспект Победителей, 84-2 ТРЦ ""Арена-Сити""",Белагропромбанк,2.875,2.93,53.9379,27.4885
"Минский р-н, Щомыслицкий с/с, 32/4, ТЦ ""DiaMondcity""",Белагропромбанк,2.875,2.93,53.849604,27.43357
"г. Минск, улица Каменногорская, 118",Белагропромбанк,2.875,2.93,53.933751,27.431989
"Пересечение Логойского тракта и МКАД (ЗАО ВЦ Аквабел), Минский р-н",Белагропромбанк,2.882,2.93,53.96409,27.622791
"г. Минск, улица Уборевича, 176",Белагропромбанк,2.882,2.93,53.835537,27.605956
"г. Минск, улица Наполеона Орды, 6",Белагропромбанк,2.875,2.93,53.842504,27.47773
"г. Минск, улица Ванеева, 38",Белагропромбанк,2.875,2.93,53.876852,27.594451
"г. Минск, ул. Маяковского, 6",Белагропромбанк,2.88,2.93,53.88472,27.565722
"г.Минск, Поселок Лесной, 19а",БСБ Банк,2.88,2.93,54.00445,27.680351
"г.Минск, Шаранговича ул., 25",БСБ Банк,2.88,2.93,53.883475,27.447917
"г.Минск, Каменногорская ул., д.3",БСБ Банк,2.88,2.93,53.910827,27.415176
"г.Минск, Космонавтов ул., 29",БСБ Банк,2.88,2.93,53.849395,27.456922
"г.Минск, Каменногорская ул., д.3",БСБ Банк,2.88,2.93,53.910827,27.415176
"г. Минск, пр-т Победителей, 3",Сбер Банк,2.87,2.93,53.906899555501,27.550586163998
"г. Минск, пр-т Независимости,39",Сбер Банк,2.87,2.93,53.91014,27.57662
"г. Минск, ул.Чкалова,18/1",Сбер Банк,2.87,2.93,53.87908,27.53427
"г. Минск, ул.Петра Мстиславца,13",Сбер Банк,2.87,2.93,53.934590873088,27.654867768288
"г. Минск, бульвар имени Мулявина,6",Сбер Банк,2.87,2.93,53.914152978013,27.584044039249
"г. Минск, ул. Е. Полоцкой, 1",Сбер Банк,2.87,2.93,53.907520524996,27.473963499069
"г. Минск, пр. Дзержинского, 119",Сбер Банк,2.87,2.93,53.850175470055,27.476280927658
"г. Минск, ул.Кальварийская, 4а",Сбер Банк,2.87,2.93,53.905607024504,27.53955155611
"г. Минск, пр-т Независимости, 32А-1 (только для премиальных клиентов)",Сбер Банк,2.87,2.93,53.904679474557,27.56955742836
"г. Минск, пр-т Независимости, 179",Сбер Банк,2.87,2.93,53.946488815116,27.68881380558
"г. Минск, ул. Притыцкого, 156",Сбер Банк,2.87,2.93,53.908054582979,27.4340736866
"г. Минск, ул. Петра Мстиславца, 11",Сбер Банк,2.87,2.93,53.933248668265,27.651568651199
"г. Минск, пр. Партизанский, 150А",Сбер Банк,2.87,2.93,53.859791170128,27.674179673195
"г. Минск, пр-т Независимости, 32А-3",Сбер Банк,2.87,2.93,53.904553060703,27.569931596518
"г. Минск, ул.Маяковского, 6",Сбер Банк,2.87,2.93,53.884951126252,27.564978897572
"г. Минск, пр-т Дзержинского, 26",Сбер Банк,2.87,2.93,53.887640179486,27.515671849251
"г. Минск, пр-т Рокоссовского, 80-6H",Сбер Банк,2.87,2.93,53.863024383968,27.603905797005
"г. Минск, пр-т Партизанский 56",Сбер Банк,2.87,2.93,53.874001842795,27.630950510502
