id,bank_org,address,coords,exchange_rates
4413892381490617361,Белгазпромбанк,"г. Минск, ул. Тимирязева, 70","53.923630307101,27.512753110114","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.9""}]"
-890101128109563436,Белгазпромбанк,"г. Минск, пр-т Независимости, 6","53.894612,27.548096","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.9""}]"
5691979517697037700,Белгазпромбанк,"г. Минск, пр-т Дзержинского, 104, БЦ «Титан» (башня C)","53.861872,27.480399","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.9""}]"
-8451050586718163522,БСБ Банк,"г.Минск, Свободы пл., 4","53.903868,27.557295","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.903""}]"
8823059884460593256,БСБ Банк,"г.Минск, Купалы ул., 25","53.905529,27.561406","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.903""}]"
-1781831635910015682,БСБ Банк,"г.Минск, П. Глебки ул., 5","53.908576,27.469576","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.895""}]"
7080185675774818270,БСБ Банк,"г.Минск, Дзержинского пр, 80","53.86925,27.489949","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.903""}]"
6278198915456432768,БСБ Банк,"г.Минск, Победителей пр., 65","53.926449,27.518349","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.903""}]"
-7409253841924334774,БСБ Банк,"г.Минск, Свободы пл., 23","53.903868,27.557295","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.903""}]"
7549839904712677799,МТБанк,"г. Минск, ул. Уманская, 54 (ТЦ ""Глобо"")","53.874918,27.498212","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.87""}]"
