id,bank_org,address,coords,exchange_rates
525509825820938359,Технобанк,"г. Минск, ул. Володарского, 4","53.8982465234,27.549922746","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.885""}]"
-2430380956126054258,Технобанк,"г. Минск, ул. Руссиянова, 8","53.9430013296,27.687411411","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.885""}]"
4957620946055403933,Технобанк,"г. Минск, пр.Независимости, 117а, (вход со стороны ул.Филимонова)","53.9318911887,27.637019584","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.885""}]"
-1884746232553473030,Технобанк,"г. Минск, ул. Маяковского,6","53.884753825866,27.565779364918","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.885""}]"
9050957514704132773,Технобанк,"г. Минск, ул. Мельникайте, 8","53.9082470096,27.5441675595","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.885""}]"
6405843532188203464,Технобанк,"г. Минск, пр. Победителей, 65-1, ТРЦ «Замок»","53.9267705851,27.5178023314","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.91""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.885""}]"
-3214022265666285373,,,"53.926345885399,27.518212789688","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
-5014837118061803904,,,"53.927832074704,27.433165060188","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
3466745145829908924,,,"53.908080068822,27.484298965637","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
8570373029181109243,,,"53.933698,27.652534","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
3784688703100655972,,,"53.964443,27.624021","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
5270554040658159072,,,"53.88496,27.451042","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
3578836385440616575,,,"53.861235,27.638305","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
801622009862352499,,,"53.867023,27.548563","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
-402742311173456598,,,"53.876573,27.625863","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
5542937586576961827,,,"53.866933,27.693389","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
-3274135519817021510,,,"53.936303,27.67323","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
-4905518716588080074,,,"53.926449,27.518349","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
870337128846015781,,,"53.964257201888,27.624696331462","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
6747937229976630702,,,"53.936242242177,27.67325231314","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
-3294276045419059154,,,"53.915008,27.560412","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
-9109064241874303736,,,"53.955501,27.611337","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
6519133838874282167,,,"53.891473,27.553198","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
9157231680706610254,,,"53.964287,27.623771","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
3444978944385517595,,,"53.90595,27.43655","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
4636065843953944242,,,"53.870304,27.547108","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
-2446262224353563841,,,"53.867179,27.548504","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
6155685231587135187,,,"53.867199,27.548554","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
527933126179163905,,,"53.890128,27.554689","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
-4939353157783709958,,,"53.884662,27.56573","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
-2388432907474046547,,,"53.84894,27.699067","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
-3808501425258485081,,,"53.835584,27.606082","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
-2919758524811770559,,,"53.925193,27.50835","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
-6631973980894038911,,,"53.905529,27.561406","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
-7109694859064574047,,,"53.908576,27.469576","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
-6969790993753135650,,,"53.874918,27.498212","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
2312900259470479322,,,"53.874532,27.498716","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
-7304480305214801878,,,"53.874579767577,27.630109229497","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
1188782440114316873,,,"53.859478223834,27.674203890213","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
2439916160175758503,,,"53.89020145635,27.554396457999","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
-1890254759921498364,,,"53.926266,27.517472","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": """"}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": """"}]"
-3137698338183496966,БНБ-Банк,"Минск, пр-т Победителей, 65 (ТЦ «Замок»)","53.926345885399,27.518212789688","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8905""}]"
-6464352142680078631,БНБ-Банк,"Минск, ул. Налибокская, 36 (ТЦ «Квадро»)","53.927832074704,27.433165060188","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8""}]"
3107327736341964736,БНБ-Банк,"Минск, ул. Притыцкого, 29 (ТЦ «Тивали»)","53.908080068822,27.484298965637","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8""}]"
339837388241683224,БНБ-Банк,"Минск, ул. Мстиславца, 11 (ТЦ «Dana Mall»)","53.933698,27.652534","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8""}]"
-3869178854367145760,БНБ-Банк,"Минский район, Боровлянский с/с, 74/1 (ТЦ «Экспобел»)","53.964443,27.624021","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8975""}]"
-301677048547070769,БНБ-Банк,"г. Минск, ул. Шаранговича, 21 (ТЦ «Гудвил»)","53.88496,27.451042","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8""}]"
-3430225058150513287,БНБ-Банк,"Минск, ул. Рудобельская,3 (ТЦ «Greentime»)","53.861235,27.638305","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8""}]"
-6717818375323251953,БНБ-Банк,"Минск, ул. Братская, 18 (ТОЦ «Aвиа Молл»), нулевой этаж","53.867023,27.548563","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8905""}]"
4310829505886408105,БНБ-Банк,"Минск, пр-т. Партизанский, 79 (ТЦ «Prizma»)","53.876573,27.625863","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8""}]"
-3688195266785376197,БНБ-Банк,"Минская область, Минский район, Новодворский с/с, район д. Большое Стиклево, 126 (ТЦ «Яркий»)","53.866933,27.693389","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.8""}]"
-3235981407894199051,БСБ Банк,"г.Минск, Независимости пр., 154","53.936303,27.67323","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.897""}]"
5906583030855136412,БСБ Банк,"г.Минск, Победителей пр., 65","53.926449,27.518349","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.88""}]"
-4674105490137923464,СтатусБанк,"Минск и Минский р-н, Минская обл., Минский район, Боровлянский с/с, 74A, район д.Боровая,ТРЦ ""Expobel"" (1 этаж)","53.964257201888,27.624696331462","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.897""}]"
-3730688398140980501,СтатусБанк,"Минск и Минский р-н, г. Минск, пр. Независимости, 154,ТЦ ""Корона""","53.936242242177,27.67325231314","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.897""}]"
-5749743846277801457,Паритетбанк,"г. Минск, улица Киселева 61А","53.915008,27.560412","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.885""}]"
6137448676621597414,Паритетбанк,"г. Минск, улица Гамарника 9к4","53.955501,27.611337","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.89""}]"
-3534540752325865739,Паритетбанк,"г. Минск, улица Бобруйская 15","53.891473,27.553198","[{""curr_from"": ""byn"", ""curr_to"": ""usd"", ""rate"": ""2.908""}, {""curr_from"": ""usd"", ""curr_to"": ""byn"", ""rate"": ""2.878""}]"
